Dátum;ATS;AUD;BEF;CAD;CHF;DEM;DKK;ESP;FIM;FRF;GBP;GRD;IEP;ITL;JPY;LUF;NLG;NOK;PTE;SEK;USD;XCU;XDR;XEU
11.4.1994;2,736;23,669;93,393;23,864;22,798;19,245;4,915;23,823;5,984;5,616;48,641;13,114;46,907;20,212;31,348;93,393;17,141;4,444;18,902;4,179;32,966;39,128;46,088;37,265
12.4.1994;2,739;23,685;93,428;23,687;22,875;19,277;4,924;23,819;5,976;5,629;48,535;13,132;46,874;20,341;31,594;93,428;17,17;4,452;18,911;4,181;32,905;39,17;45,904;37,305
13.4.1994;2,731;23,915;93,407;23,859;22,829;19,211;4,914;23,811;5,986;5,619;48,497;13,11;46,992;20,186;31,913;93,407;17,119;4,443;18,897;4,184;33,014;39,077;46,261;37,216
14.4.1994;2,732;23,809;93,468;23,985;22,848;19,215;4,912;23,744;5,969;5,622;48,657;13,131;47,086;20,143;31,857;93,468;17,123;4,439;18,859;4,175;33,004;39,083;46,121;37,222
15.4.1994;2,738;23,81;93,577;23,932;22,854;19,26;4,919;23,667;5,967;5,628;48,562;13,143;47,136;20,179;31,696;93,577;17,154;4,441;18,813;4,15;32,933;39,13;46,063;37,267
18.4.1994;2,735;23,843;93,515;23,816;22,715;19,26;4,911;23,62;5,981;5,627;48,585;13,147;47,151;20,146;31,693;93,515;17,158;4,44;18,81;4,162;32,955;39,094;46,108;37,232
19.4.1994;2,737;23,792;93,52;23,802;22,677;19,256;4,915;23,643;5,976;5,628;48,49;13,152;47,079;20,21;31,851;93,52;17,156;4,446;18,872;4,174;32,966;39,118;46,117;37,255
20.4.1994;2,741;23,536;93,663;23,706;22,751;19,284;4,917;23,562;5,992;5,628;48,617;13,166;47,31;20,167;31,993;93,663;17,176;4,445;18,916;4,163;32,927;39,12;46,091;37,257
21.4.1994;2,751;23,5;93,885;23,739;22,788;19,346;4,925;23,628;5,956;5,631;48,665;13,196;47,322;20,151;31,8;93,885;17,229;4,452;18,89;4,137;32,831;39,205;46,116;37,338
22.4.1994;2,757;23,375;94,258;23,741;22,902;19,409;4,946;23,794;5,965;5,655;49,006;13,244;47,438;20,246;31,847;94,258;17,264;4,471;19,012;4,142;32,739;39,367;45,964;37,492
25.4.1994;2,754;23,523;94,116;23,789;22,799;19,369;4,944;23,815;5,973;5,652;48,756;13,226;47,357;20,243;31,572;94,116;17,231;4,467;18,937;4,16;32,762;39,333;46,177;37,46
26.4.1994;2,763;23,415;94,389;23,676;22,833;19,434;4,95;23,833;5,979;5,661;48,746;13,247;47,401;20,303;31,67;94,389;17,294;4,473;18,951;4,153;32,652;39,393;45,861;37,517
27.4.1994;2,76;23,451;94,309;23,733;22,718;19,433;4,948;23,833;5,987;5,658;48,67;13,24;47,356;20,308;31,708;94,309;17,264;4,471;18,92;4,161;32,675;39,373;46,079;37,498
28.4.1994;2,768;23,308;94,557;23,705;22,793;19,475;4,947;23,817;5,996;5,666;49,109;13,255;47,633;20,247;31,706;94,557;17,328;4,48;18,939;4,167;32,594;39,484;45,93;37,604
29.4.1994;2,767;23,225;94,549;23,69;22,819;19,459;4,957;23,86;6,007;5,671;49,014;13,246;47,448;20,301;31,948;94,549;17,325;4,487;18,959;4,198;32,619;39,487;46,097;37,607
2.5.1994;2,776;23,175;94,853;23,514;22,977;19,527;4,973;23,953;6,017;5,697;49,046;13,29;47,746;20,377;32,095;94,853;17,393;4,501;18,994;4,207;32,481;39,602;45,962;37,716
3.5.1994;2,781;23,126;95,124;23,478;23,06;19,571;4,995;24,035;6,058;5,715;49,133;13,33;47,844;20,397;31,811;95,124;17,435;4,516;19,058;4,247;32,399;39,707;46,051;37,816
4.5.1994;2,789;22,899;95,282;23,422;23,03;19,614;5,007;23,951;6,04;5,725;48,888;13,326;47,695;20,378;31,899;95,282;17,469;4,522;19,028;4,238;32,329;39,74;45,952;37,848
5.5.1994;2,788;22,846;95,298;23,307;23,028;19,612;5,013;23,935;6,039;5,729;48,724;13,328;47,456;20,331;31,898;95,298;17,463;4,519;19,063;4,24;32,332;39,692;46,119;37,802
6.5.1994;2,774;23,189;94,795;23,422;22,973;19,519;4,979;23,49;6,003;5,691;48,701;13,277;47,236;20,137;31,645;94,795;17,377;4,493;18,942;4,204;32,496;39,405;46,319;37,529
9.5.1994;2,773;23,289;94,744;23,544;22,912;19,497;4,984;23,728;6,012;5,689;48,66;13,263;47,423;20,277;31,664;94,744;17,368;4,492;18,96;4,219;32,535;39,446;45,995;37,568
10.5.1994;2,78;23,171;94,962;23,488;22,951;19,56;4,998;23,775;6,018;5,708;48,447;13,268;47,24;20,402;31,67;94,962;17,422;4,51;18,948;4,228;32,43;39,558;45,839;37,674
11.5.1994;2,779;23,411;94,94;23,532;22,877;19,532;4,994;23,822;6,016;5,702;48,654;13,256;47,445;20,45;31,423;94,94;17,401;4,502;18,929;4,22;32,479;39,543;46,04;37,66
12.5.1994;2,769;23,509;94,608;23,666;22,759;19,472;4,975;23,608;5,973;5,682;48,551;13,194;47,361;20,355;31,228;94,608;17,353;4,49;18,836;4,202;32,602;39,429;46,075;37,551
13.5.1994;2,761;23,461;94,781;23,551;22,817;19,519;4,989;23,637;5,991;5,693;48,741;13,177;47,595;20,352;31,137;94,781;17,391;4,5;18,868;4,206;32,548;39,476;45,829;37,596
16.5.1994;2,77;23,552;94,654;23,653;22,806;19,475;4,979;23,629;5,998;5,683;48,809;13,151;47,554;20,356;31,067;94,654;17,35;4,496;18,909;4,199;32,589;39,437;45,943;37,559
17.5.1994;2,766;23,592;94,536;23,731;22,803;19,463;4,973;23,57;5,972;5,675;48,994;13,162;47,634;20,282;31,145;94,536;17,328;4,492;18,882;4,188;32,608;39,409;45,874;37,532
18.5.1994;2,769;23,669;94,624;23,653;22,853;19,48;4,975;23,519;5,968;5,681;48,943;13,122;47,796;20,283;31,065;94,624;17,353;4,494;18,884;4,185;32,574;39,425;45,846;37,548
19.5.1994;2,774;23,701;94,816;23,611;22,948;19,515;4,981;23,627;5,991;5,697;48,884;13,127;47,883;20,413;31,295;94,816;17,396;4,504;18,936;4,207;32,503;39,51;45,759;37,629
20.5.1994;2,781;23,649;95,052;23,573;22,942;19,562;4,997;23,744;5,982;5,716;48,857;13,142;47,956;20,443;31,244;95,052;17,433;4,516;18,972;4,213;32,422;39,576;45,812;37,691
23.5.1994;2,785;23,576;95,113;23,577;22,954;19,589;5,006;23,707;6;5,727;48,859;13,06;48,082;20,459;31,054;95,113;17,446;4,524;18,95;4,212;32,376;39,591;45,855;37,706
24.5.1994;2,791;23,632;95,517;23,429;23,001;19,643;5,022;23,812;6,01;5,744;48,705;13,172;48,127;20,395;31,007;95,517;17,508;4,543;19,03;4,219;32,285;39,695;45,665;37,805
25.5.1994;2,79;23,738;95,302;23,495;22,954;19,616;5,012;23,796;5,997;5,732;48,7;13,213;47,879;20,334;30,989;95,302;17,486;4,528;18,985;4,198;32,331;39,668;45,802;37,779
26.5.1994;2,785;23,749;95,167;23,501;22,942;19,582;5,002;23,802;5,977;5,727;48,775;13,273;47,836;20,293;30,957;95,167;17,459;4,522;18,923;4,168;32,387;39,642;45,842;37,754
27.5.1994;2,793;23,687;95,423;23,342;23,05;19,644;5,018;23,81;5,98;5,742;48,735;13,077;47,906;20,213;30,959;95,423;17,509;4,534;18,93;4,166;32,275;39,704;45,61;37,813
30.5.1994;2,789;23,721;95,344;23,333;22,988;19,618;5,015;23,824;5,98;5,742;48,799;13,192;47,907;20,277;30,865;95,344;17,49;4,532;18,885;4,182;32,321;39,693;45,812;37,803
31.5.1994;2,791;23,776;95,364;23,338;23,032;19,631;5,011;23,853;5,968;5,746;48,765;13,301;47,842;20,311;30,937;95,364;17,507;4,532;18,886;4,179;32,295;39,682;45,775;37,792
1.6.1994;2,795;23,741;95,438;23,267;23,068;19,658;5,012;23,83;5,943;5,748;48,712;13,365;47,915;20,269;30,866;95,438;17,524;4,531;18,898;4,148;32,249;39,695;45,637;37,805
2.6.1994;2,789;23,892;95,304;23,371;23,043;19,617;4,991;23,798;5,915;5,738;48,874;13,212;47,807;20,271;30,864;95,304;17,492;4,522;18,901;4,112;32,318;39,662;45,805;37,773
3.6.1994;2,795;23,841;95,295;23,3;23,093;19,621;4,995;23,796;5,928;5,74;49,047;13,142;47,801;20,251;30,852;95,295;17,5;4,524;18,892;4,106;32,296;39,678;45,761;37,789
6.6.1994;2,778;23,918;94,993;23,429;23,017;19,552;4,978;23,681;5,902;5,723;48,889;13,066;47,702;20,044;30,813;94,993;17,44;4,507;18,8;4,108;32,431;39,562;45,919;37,678
7.6.1994;2,769;24,013;94,649;23,643;22,951;19,478;4,973;23,672;5,898;5,706;49,039;13,091;47,936;20,05;30,882;94,649;17,374;4,493;18,747;4,113;32,556;39,441;45,914;37,563
8.6.1994;2,768;23,88;94,631;23,786;22,988;19,476;4,977;23,746;5,88;5,711;48,987;13,054;47,906;20,109;30,95;94,631;17,37;4,497;18,772;4,103;32,556;39,482;45,835;37,602
9.6.1994;2,773;23,892;94,787;23,662;23,033;19,514;4,984;23,797;5,904;5,721;49,109;13,067;47,969;20,097;31,176;94,787;17,41;4,502;18,763;4,106;32,488;39,529;45,736;37,647
10.6.1994;2,769;23,887;94,629;23,676;23,042;19,482;4,992;23,83;5,887;5,72;49,112;13,019;47,882;20,13;31,275;94,629;17,381;4,499;18,736;4,106;32,535;39,495;45,972;37,614
13.6.1994;2,771;23,888;94,682;23,664;23,051;19,493;4,994;23,818;5,884;5,728;48,992;12,987;47,818;20,151;31,248;94,682;17,385;4,5;18,708;4,109;32,514;39,496;45,909;37,615
14.6.1994;2,78;23,862;95,012;23,503;23,154;19,556;5,006;23,825;5,886;5,74;48,997;12,98;47,892;20,251;31,3;95,012;17,444;4,512;18,652;4,101;32,399;39,622;45,76;37,735
15.6.1994;2,791;23,587;95,351;23,334;23,306;19,627;5,014;23,861;5,857;5,751;48,997;12,99;47,784;20,227;31,339;95,351;17,516;4,523;18,886;4,079;32,267;39,711;45,747;37,82
16.6.1994;2,791;23,519;95,379;23,302;23,304;19,634;5,02;23,82;5,87;5,755;49,015;12,981;47,911;20,154;31,36;95,379;17,544;4,526;18,917;4,084;32,257;39,726;45,894;37,834
17.6.1994;2,8;23,393;95,743;23,097;23,452;19,701;5,031;23,886;5,854;5,774;48,868;12,997;47,929;20,165;31,223;95,743;17,594;4,536;18,972;4,072;32,129;39,797;45,73;37,902
20.6.1994;2,794;23,615;95,548;23,222;23,37;19,661;5,02;23,79;5,884;5,765;48,915;13,022;47,817;20,056;31,064;95,548;17,539;4,525;18,921;4,086;32,204;39,702;45,922;37,811
21.6.1994;2,817;23,604;96,27;22,935;23,544;19,825;5,046;23,904;5,918;5,8;48,918;13,081;47,964;20,097;31,11;96,27;17,683;4,555;19,05;4,098;31,918;39,933;45,398;38,031
22.6.1994;2,825;23,531;96,553;22,927;23,528;19,877;5,066;23,928;5,942;5,818;48,966;13,122;48,04;20,122;31,209;96,553;17,738;4,572;19,165;4,123;31,834;40,027;45,72;38,121
23.6.1994;2,825;23,607;96,543;22,949;23,593;19,885;5,068;23,904;5,981;5,816;48,809;13,152;48,048;20,223;31,62;96,543;17,734;4,573;19,228;4,138;31,816;40,051;45,75;38,144
24.6.1994;2,82;23,415;96,382;23,042;23,622;19,84;5,059;23,924;5,991;5,804;48,797;13,131;48,045;20,214;31,561;96,382;17,706;4,565;19,186;4,144;31,883;40,002;45,989;38,097
27.6.1994;2,832;23,284;96,721;22,855;23,757;19,919;5,075;24,07;5,997;5,819;49,11;13,18;48,221;20,19;31,619;96,721;17,772;4,581;19,288;4,15;31,739;40,114;45,626;38,204
28.6.1994;2,843;22,849;97,089;22,723;23,862;19,992;5,093;24,198;6,008;5,833;49,115;13,214;48,337;20,216;31,576;97,089;17,838;4,593;19,383;4,145;31,607;40,207;45,667;38,292
29.6.1994;2,837;22,924;96,965;22,852;23,759;19,972;5,087;24,204;6,022;5,828;48,926;13,244;48,324;20,213;31,52;96,965;17,8;4,586;19,405;4,159;31,659;40,173;45,93;38,26
30.6.1994;2,845;22,839;97,124;22,826;23,789;20,016;5,092;24,347;6,014;5,834;49,091;13,247;48,406;20,247;31,787;97,124;17,845;4,591;19,458;4,157;31,58;40,215;45,68;38,3
1.7.1994;2,83;23,257;96,673;22,997;23,62;19,906;5,073;24,288;5,986;5,807;48,816;13,211;48,133;20,045;32,07;96,673;17,754;4,567;19,354;4,136;31,781;39,978;46,102;38,074
